state,kharif_temp,rabi_temp,summer_temp,yearly_temp
bihar,33.58333333,23.106,34.92333333,29.18636364
meghalaya,22.07,15.852,20.36333333,18.77818182
punjab,34.73,20.312,31.25,27.22727273
madhya pradesh,30.43,23.562,35.34333333,28.64818182
goa,27.31666667,28.474,30.30333333,28.65727273
rajasthan,33.37333333,22.766,33.35,28.54545455
telangana,28.68,25.574,35.01,28.99454545
gujarat,30.61666667,27.276,33.76333333,29.95636364
dadra and nagar haveli,28.22333333,27.016,30.06333333,28.17636364
uttar pradesh,34.01,22.676,34.66666667,29.03727273
mizoram,26.64666667,21.482,27.74333333,24.59818182
kerala,27,27.6,29.33333333,27.90909091
manipur,27.23333333,23.14,29.6,26.01818182
uttarakhand,25.66666667,14.6,23.13333333,19.94545455
odisha,28.5,23.56,30.26666667,26.73636364
west bengal,28.33333333,22.28,29.2,25.81818182
himachal pradesh,22.03333333,10.38,17.5,15.5
arunachal pradesh,11.2,1.18,4.8,4.9
tamil nadu,29.56666667,25.44,29.43333333,27.65454545
chandigarh,28.7,16.82,26.53333333,22.70909091
puducherry,29.4,25.76,29,27.63636364
andaman and nicobar islands,27,26.6,27.8,27.03636364
assam,27.33333333,20.8,25.03333333,23.73636364
maharashtra,26.36666667,25.6,27.96666667,26.45454545
sikkim,20.1,12.5,16.33333333,15.61818182
tripura,27.26666667,21.66,26.86666667,24.60909091
karnataka,22.6,21.3,25.83333333,22.89090909
haryana,35.34666667,21.704,33.00666667,28.50727273
chhattisgarh,28.03333333,22.38,31.9,26.51818182
nagaland,26.43333333,18.92,23.4,22.19090909
andhra pradesh,29.26666667,25.46,31.26666667,28.08181818
jharkhand,25.66666667,18.58,27.43333333,22.92727273
jammu and kashmir,27.86666667,14.7,23.56666667,20.70909091
